px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
4.29636	18.2975	4.76784	-2.39487	0.451873	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	6.91291e-310	L
3.97977	18.1824	4.95294	-2.38427	0.4641	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.84246	R
3.80183	18.0111	4.95294	-2.36107	0.4641	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	6.91291e-310	L
3.73924	17.8602	4.79961	-2.33887	0.449485	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	2.92682	R
3.57446	17.6866	4.79961	-2.3164	0.449485	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	6.91291e-310	L
3.25203	17.5465	4.95766	-2.31794	0.443434	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	3.28122	R
3.08562	17.3637	4.95766	-2.29577	0.443434	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.91291e-310	L
3.01678	17.1315	4.96224	-2.23865	0.479254	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	1.33097	R
2.86542	16.9358	4.96224	-2.21469	0.479254	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	6.91291e-310	L
2.67242	16.7961	4.86626	-2.22328	0.44002	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	3.04929	R
2.52679	16.602	4.86626	-2.20128	0.44002	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	6.91291e-310	L
2.20218	16.4187	4.92255	-2.2261	0.395693	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	5.25531	R
2.05411	16.223	4.92255	-2.20632	0.395693	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	6.91291e-310	L
1.84563	16.0746	4.89767	-2.21618	0.366185	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.17811	R
1.7001	15.8785	4.89767	-2.19787	0.366185	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	6.91291e-310	L
1.60264	15.6349	4.95263	-2.15054	0.399374	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	1.42711	R
1.46898	15.4272	4.95263	-2.13057	0.399374	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	6.91291e-310	L
1.20471	15.2679	4.99333	-2.15011	0.368539	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	1.82538	R
1.0699	15.0586	4.99333	-2.13168	0.368539	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	6.91291e-310	L
0.928214	14.9057	4.91312	-2.13458	0.343264	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.24718	R
