px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
18.3021	17.5912	4.8511	2.34178	0.64831	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.79521	L
18.1306	17.7622	4.8511	2.3742	0.64831	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	6.92448e-310	R
18.0412	17.971	4.82345	2.3623	0.600738	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.30731	L
17.8674	18.1377	4.82345	2.39234	0.600738	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	6.92448e-310	R
17.7563	18.2796	4.72165	2.40351	0.581291	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.59725	L
17.5797	18.4356	4.72165	2.43257	0.581291	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.92448e-310	R
17.3973	18.6233	4.77127	2.45102	0.569485	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.428629	L
17.2115	18.7724	4.77127	2.47949	0.569485	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	6.92448e-310	R
17.0706	18.9109	4.70359	2.4936	0.554512	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.758274	L
16.8814	19.0501	4.70359	2.52133	0.554512	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	6.92448e-310	R
16.6481	19.1382	4.70251	2.57684	0.584349	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	0.887456	L
16.4479	19.2609	4.70251	2.60606	0.584349	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	6.92448e-310	R
16.2474	19.4552	4.7834	2.60714	0.553608	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	1.72756	L
16.0402	19.574	4.7834	2.63482	0.553608	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	6.92448e-310	R
15.8644	19.7497	4.79866	2.63016	0.518756	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	1.23327	L
15.6539	19.8643	4.79866	2.6561	0.518756	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	6.92448e-310	R
15.4439	20.0429	4.86115	2.65501	0.489351	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.31855	L
15.228	20.1538	4.86115	2.67948	0.489351	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	6.92448e-310	R
15.074	20.3245	4.82383	2.66337	0.445861	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.99901	L
14.8589	20.4329	4.82383	2.68567	0.445861	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	6.92448e-310	R
14.6511	20.5616	4.83096	2.69602	0.432984	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.168809	L
14.4324	20.6631	4.83096	2.71766	0.432984	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	6.92448e-310	R
14.1581	20.6992	4.86337	2.77489	0.471185	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	1.54666	L
13.9304	20.7836	4.86337	2.79845	0.471185	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	6.92448e-310	R
13.6265	20.8103	4.94133	2.85788	0.509524	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	2.14685	L
13.3888	20.8763	4.94133	2.88336	0.509524	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	6.92448e-310	R
13.1344	20.8985	4.94085	2.92705	0.529204	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.379112	L
12.8926	20.9478	4.94085	2.95351	0.529204	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	6.92448e-310	R
12.7181	21.0188	4.84343	2.95786	0.506024	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.65818	L
12.4798	21.06	4.84343	2.98316	0.506024	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	6.92448e-310	R
12.2306	21.0997	4.86252	3.00777	0.50513	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.0440674	L
11.9896	21.129	4.86252	3.03303	0.50513	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	6.92448e-310	R
11.7242	21.0514	4.86314	3.10471	0.55542	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	2.50361	L
11.4815	21.0569	4.86314	3.13248	0.55542	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	6.92448e-310	R
11.2755	21.0616	4.80111	-3.12838	0.550053	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.487458	L
11.0359	21.0551	4.80111	-3.10088	0.550053	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	6.92448e-310	R
10.8233	21.0026	4.74734	-3.05709	0.56818	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.665793	L
10.5874	20.9792	4.74734	-3.02868	0.56818	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	6.92448e-310	R
10.3053	21.0389	4.83592	-3.03972	0.52467	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	2.8084	L
10.0655	21.0112	4.83592	-3.01348	0.52467	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	6.92448e-310	R
9.8763	20.9781	4.74837	-2.98766	0.524918	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	0.906515	L
9.64252	20.9387	4.74837	-2.96142	0.524918	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	6.92448e-310	R
9.44793	20.8869	4.68243	-2.93148	0.529372	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.532593	L
9.21996	20.8352	4.68243	-2.90502	0.529372	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	6.92448e-310	R
8.90788	20.7943	4.82825	-2.89017	0.515849	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.69341	L
8.67519	20.7313	4.82825	-2.86438	0.515849	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	6.92448e-310	R
8.38032	20.602	4.9562	-2.81578	0.53964	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.4881	L
8.14698	20.5196	4.9562	-2.7888	0.53964	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	6.92448e-310	R
7.90688	20.438	4.96909	-2.76577	0.535282	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.0379501	L
7.67734	20.3439	4.96909	-2.739	0.535282	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	6.92448e-310	R
